time/time_elapsed,time/fps,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/loss,train/learning_rate,train/n_updates
4190,113,474096,0.05,165.76687560000002,84.0,5644,1.4092659950256348,0.0001,118498
4190,113,474180,0.05,165.22926647,84.0,5645,0.7897446155548096,0.0001,118519
4191,113,474264,0.05,165.41816298999998,84.0,5646,1.3463215827941895,0.0001,118540
4192,113,474348,0.05,165.41590556,84.0,5647,0.678932785987854,0.0001,118561
4193,113,474432,0.05,165.82312752,84.0,5648,1.8671250343322754,0.0001,118582
4193,113,474516,0.05,165.75646298000004,84.0,5649,5.568192481994629,0.0001,118603
4194,113,474600,0.05,165.70868842,84.0,5650,0.5376157164573669,0.0001,118624
4195,113,474684,0.05,165.95576528,84.0,5651,1.6201847791671753,0.0001,118645
4196,113,474768,0.05,166.14087063,84.0,5652,1.5888899564743042,0.0001,118666
4196,113,474852,0.05,166.52207554999998,84.0,5653,6.676150321960449,0.0001,118687
4197,113,474936,0.05,166.305497,84.0,5654,1.3969119787216187,0.0001,118708
4198,113,475020,0.05,165.93797976000002,84.0,5655,0.8809012174606323,0.0001,118729
4199,113,475104,0.05,166.25448612,84.0,5656,18.231021881103516,0.0001,118750
4200,113,475188,0.05,165.62503931000003,84.0,5657,0.9479590058326721,0.0001,118771
4200,113,475272,0.05,165.11331454000003,84.0,5658,1.1579842567443848,0.0001,118792
4201,113,475356,0.05,165.29391004000001,84.0,5659,6.23295783996582,0.0001,118813
4202,113,475440,0.05,166.47086019000002,84.0,5660,8.565844535827637,0.0001,118834
4203,113,475524,0.05,167.25493747000002,84.0,5661,1.5319143533706665,0.0001,118855
4204,113,475608,0.05,168.18842053,84.0,5662,4.432895183563232,0.0001,118876
4205,113,475692,0.05,169.23681104999997,84.0,5663,0.6717246174812317,0.0001,118897
4206,113,475776,0.05,169.51776543,84.0,5664,6.933568477630615,0.0001,118918
4207,113,475860,0.05,168.73509351,84.0,5665,9.047476768493652,0.0001,118939
4208,113,475944,0.05,168.11685649999998,84.0,5666,0.7764659523963928,0.0001,118960
4209,113,476028,0.05,169.43994483999998,84.0,5667,0.7556809782981873,0.0001,118981
4209,113,476112,0.05,169.02854745000002,84.0,5668,1.0578312873840332,0.0001,119002
4210,113,476196,0.05,168.30836089000002,84.0,5669,7.103744983673096,0.0001,119023
4211,113,476280,0.05,168.52527315999998,84.0,5670,5.058468818664551,0.0001,119044
4212,113,476364,0.05,168.31710807000002,84.0,5671,8.834440231323242,0.0001,119065
4213,113,476448,0.05,167.70315668000003,84.0,5672,0.9242217540740967,0.0001,119086
4213,113,476532,0.05,168.83571033000004,84.0,5673,6.611806869506836,0.0001,119107
4214,113,476616,0.05,169.27462297000005,84.0,5674,1.4904929399490356,0.0001,119128
4215,113,476700,0.05,168.55370703000006,84.0,5675,2.2723639011383057,0.0001,119149
4216,113,476784,0.05,168.21970692000005,84.0,5676,7.154544353485107,0.0001,119170
4217,113,476868,0.05,167.88096632,84.0,5677,6.947854995727539,0.0001,119191
4218,113,476952,0.05,167.96988906,84.0,5678,0.7259069681167603,0.0001,119212
4218,113,477036,0.05,167.40349220000004,84.0,5679,1.6730939149856567,0.0001,119233
4219,113,477120,0.05,167.48345823,84.0,5680,1.0102229118347168,0.0001,119254
4220,113,477204,0.05,167.15017761,84.0,5681,1.6374576091766357,0.0001,119275
4221,113,477288,0.05,167.9752434,84.0,5682,2.5302207469940186,0.0001,119296
4222,113,477372,0.05,168.02556002,84.0,5683,1.3777426481246948,0.0001,119317
4223,113,477456,0.05,168.07970300999997,84.0,5684,0.9455983638763428,0.0001,119338
4223,113,477540,0.05,169.21242788,84.0,5685,12.795114517211914,0.0001,119359
4224,113,477624,0.05,169.16160727000002,84.0,5686,13.469070434570312,0.0001,119380
4225,113,477708,0.05,169.18414255,84.0,5687,2.029369354248047,0.0001,119401
4226,113,477792,0.05,169.98500199999998,84.0,5688,0.9203741550445557,0.0001,119422
4227,113,477876,0.05,169.93375944,84.0,5689,1.2266407012939453,0.0001,119443
4228,113,477960,0.05,169.82795108,84.0,5690,1.7513983249664307,0.0001,119464
4228,113,478044,0.05,169.42079823,84.0,5691,0.5505446791648865,0.0001,119485
4229,113,478128,0.05,170.98518950999997,84.0,5692,0.8907486200332642,0.0001,119506
4230,113,478212,0.05,170.81327905999999,84.0,5693,7.084122657775879,0.0001,119527
4231,113,478296,0.05,171.46293901999996,84.0,5694,4.876266002655029,0.0001,119548
4232,113,478380,0.05,171.82056443,84.0,5695,1.7456421852111816,0.0001,119569
4232,113,478464,0.05,171.56490716,84.0,5696,0.7689452171325684,0.0001,119590
4233,113,478548,0.05,171.57567823999997,84.0,5697,2.208527088165283,0.0001,119611
4234,113,478632,0.05,172.11380535,84.0,5698,1.7285099029541016,0.0001,119632
4235,113,478716,0.05,173.50953019,84.0,5699,5.0144524574279785,0.0001,119653
4235,113,478800,0.05,172.50506229,84.0,5700,13.508155822753906,0.0001,119674
