rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/fps,rollout/exploration_rate,time/total_timesteps,train/learning_rate,train/n_updates,train/loss
84.0,52.27737748,2115,4600,182,0.05,386400,0.0001,96574,0.12985041737556458
84.0,52.10013736999999,2116,4601,182,0.05,386484,0.0001,96595,3.3966712951660156
84.0,51.87753258,2116,4602,182,0.05,386568,0.0001,96616,0.08654261380434036
84.0,52.01576176999999,2117,4603,182,0.05,386652,0.0001,96637,3.7322518825531006
84.0,51.83091764999999,2117,4604,182,0.05,386736,0.0001,96658,3.55173397064209
84.0,51.85786935,2118,4605,182,0.05,386820,0.0001,96679,0.07899734377861023
84.0,51.70546539000001,2118,4606,182,0.05,386904,0.0001,96700,0.14863719046115875
84.0,51.69114950000001,2119,4607,182,0.05,386988,0.0001,96721,0.06536857783794403
84.0,51.47078507000001,2119,4608,182,0.05,387072,0.0001,96742,0.0765223577618599
84.0,51.2905377,2120,4609,182,0.05,387156,0.0001,96763,0.10496708750724792
84.0,51.06318249,2120,4610,182,0.05,387240,0.0001,96784,7.377493858337402
84.0,50.87579207999999,2121,4611,182,0.05,387324,0.0001,96805,3.939971923828125
84.0,50.91762505999999,2121,4612,182,0.05,387408,0.0001,96826,0.07378870248794556
84.0,50.7003935,2122,4613,182,0.05,387492,0.0001,96847,3.2760963439941406
84.0,50.583176740000006,2122,4614,182,0.05,387576,0.0001,96868,0.14926569163799286
84.0,50.528410090000015,2123,4615,182,0.05,387660,0.0001,96889,0.1756615936756134
84.0,50.55010182000001,2123,4616,182,0.05,387744,0.0001,96910,3.494375467300415
84.0,50.45389139000001,2124,4617,182,0.05,387828,0.0001,96931,0.297550767660141
84.0,50.52993228000001,2124,4618,182,0.05,387912,0.0001,96952,0.044141821563243866
84.0,50.65758464000001,2125,4619,182,0.05,387996,0.0001,96973,6.848638534545898
84.0,50.74763976,2125,4620,182,0.05,388080,0.0001,96994,3.980696201324463
84.0,50.750324930000005,2126,4621,182,0.05,388164,0.0001,97015,0.1473630964756012
84.0,50.555038800000005,2126,4622,182,0.05,388248,0.0001,97036,0.05783280357718468
