time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/exploration_rate,time/episodes,rollout/ep_rew_mean,time/fps,train/n_updates,train/learning_rate,train/loss
34888,254,30.31,0.05,1066,-11.23683186,137,8696,0.0001,6.297318458557129
34916,254,30.34,0.05,1067,-11.20724876,137,8703,0.0001,0.8893759846687317
34944,255,30.37,0.05,1068,-11.175952989999999,136,8710,0.0001,6.270076751708984
34971,255,30.38,0.05,1069,-11.169576079999997,136,8717,0.0001,6.102413654327393
35000,255,30.38,0.05,1070,-11.160243359999999,136,8724,0.0001,1.1020710468292236
35026,255,30.36,0.05,1071,-11.183759279999997,136,8731,0.0001,1.3693647384643555
35054,255,30.38,0.05,1072,-11.144593239999997,136,8738,0.0001,1.1993987560272217
35084,256,30.4,0.05,1073,-11.117900569999996,136,8745,0.0001,3.8759782314300537
35115,256,30.46,0.05,1074,-11.05593192,136,8753,0.0001,1.137015461921692
35141,256,30.43,0.05,1075,-11.08639196,136,8760,0.0001,0.9000140428543091
35167,256,30.44,0.05,1076,-11.08158521,136,8766,0.0001,0.9935991764068604
35194,257,30.43,0.05,1077,-11.0910042,136,8773,0.0001,0.9504261016845703
35220,257,29.84,0.05,1078,-10.96405491,136,8779,0.0001,9.136120796203613
35247,257,29.84,0.05,1079,-10.97566706,136,8786,0.0001,6.319863796234131
35275,257,29.86,0.05,1080,-10.946020569999998,136,8793,0.0001,8.719632148742676
35301,258,29.87,0.05,1081,-10.939928719999997,136,8800,0.0001,3.738226890563965
35328,258,29.87,0.05,1082,-10.93379813,136,8806,0.0001,3.850585460662842
35353,258,29.83,0.05,1083,-10.99424721,136,8813,0.0001,1.204278826713562
35378,258,29.8,0.05,1084,-11.026299929999999,136,8819,0.0001,3.596942901611328
35404,258,29.78,0.05,1085,-11.054272629999998,136,8825,0.0001,3.72598934173584
35432,259,29.79,0.05,1086,-11.047089099999999,136,8832,0.0001,3.825352191925049
35458,259,29.78,0.05,1087,-11.062245999999998,136,8839,0.0001,6.508796215057373
35483,259,29.77,0.05,1088,-11.063566809999998,136,8845,0.0001,1.1007053852081299
35508,259,29.74,0.05,1089,-11.09223337,136,8851,0.0001,0.5932756662368774
35533,260,29.14,0.05,1090,-11.417925050000003,136,8858,0.0001,1.1280258893966675
35559,260,29.12,0.05,1091,-11.45508741,136,8864,0.0001,0.9642689228057861
35644,260,29.57,0.05,1092,-11.696080180000001,136,8885,0.0001,1.1262996196746826
35671,261,29.59,0.05,1093,-11.67169833,136,8892,0.0001,6.078344821929932
35701,261,29.61,0.05,1094,-11.66030396,136,8900,0.0001,9.38134479522705
35733,261,29.64,0.05,1095,-11.61681063,136,8908,0.0001,3.7020015716552734
35764,261,29.68,0.05,1096,-11.56531706,136,8915,0.0001,6.432390213012695
35789,261,29.68,0.05,1097,-11.56530671,136,8922,0.0001,0.8977160453796387
35815,262,29.65,0.05,1098,-11.60577986,136,8928,0.0001,3.881479263305664
35840,262,29.61,0.05,1099,-11.637563909999999,136,8934,0.0001,1.1205813884735107
35867,262,29.59,0.05,1100,-11.6547766,136,8941,0.0001,3.835564374923706
35895,262,29.57,0.05,1101,-11.692905379999997,136,8948,0.0001,1.0227824449539185
35920,263,29.52,0.05,1102,-11.75724603,136,8954,0.0001,1.4663209915161133
35945,263,29.49,0.05,1103,-11.785931419999997,136,8961,0.0001,1.1093357801437378
